[16/3/2016 2:43:51] /b Galera, se tiverem alguma duvida podem chama privado.
[16/3/2016 6:51:10] /a
[16/3/2016 8:8:25] /a 10
[16/3/2016 8:8:26] /a 10
[16/3/2016 8:8:26] /a 10
[16/3/2016 8:8:27] /a 10
[16/3/2016 8:8:27] /a 10
[16/3/2016 8:8:28] /a 10
[16/3/2016 8:8:28] /a 10
[16/3/2016 8:8:32] /a 10
[16/3/2016 8:8:32] /a 10
[16/3/2016 8:8:33] /a 10
[16/3/2016 8:8:33] /a 10
[16/3/2016 8:8:34] /a 10
[16/3/2016 8:8:34] /a 10
[16/3/2016 8:8:35] /a 10
[16/3/2016 8:8:36] /a 10
[16/3/2016 8:8:37] /a 10
[16/3/2016 8:8:37] /a 10
[16/3/2016 8:8:38] /a 10
[16/3/2016 8:8:39] /a 10
[16/3/2016 8:8:39] /a 10
[16/3/2016 8:8:40] /a 10
[16/3/2016 8:8:41] /a 10
[16/3/2016 8:8:47] /a 10
[16/3/2016 8:8:47] /a 10
[16/3/2016 8:8:48] /a 10
[16/3/2016 8:8:49] /a 10
[16/3/2016 8:8:49] /a 10
[16/3/2016 8:8:50] /a 10
[16/3/2016 8:8:50] /a 10
[16/3/2016 8:8:51] /a 10
[16/3/2016 8:8:52] /a 10
[16/3/2016 8:8:53] /a 10
[16/3/2016 8:8:54] /a 10
[16/3/2016 8:8:55] /a 10
[16/3/2016 8:8:59] /a 10
[16/3/2016 8:9:0] /a 10
[16/3/2016 8:9:1] /a 10
[16/3/2016 8:9:2] /a 5
[16/3/2016 8:9:3] /a 5
[16/3/2016 8:9:3] /a 5
[16/3/2016 8:9:4] /a 5
[16/3/2016 8:9:6] /a 5
[16/3/2016 8:9:7] /a 5
[16/3/2016 8:9:8] /a 5
[16/3/2016 8:9:9] /a 5
[16/3/2016 8:9:10] /a 5
[16/3/2016 8:9:11] /a 5
[16/3/2016 8:9:11] /a 5
[16/3/2016 8:9:12] /a 5
[16/3/2016 8:9:13] /a 5
[16/3/2016 8:9:13] /a 5
[16/3/2016 8:9:14] /a 5
[16/3/2016 8:9:15] /a 5
[16/3/2016 8:9:16] /a 5
[16/3/2016 8:9:21] /a 5
[16/3/2016 8:9:21] /a 5
[16/3/2016 8:9:22] /a 5
[16/3/2016 8:9:23] /a 5
[16/3/2016 8:9:26] /a 5
[16/3/2016 8:9:26] /a 5
[16/3/2016 8:9:27] /a 5
[16/3/2016 8:9:28] /a 5
[16/3/2016 8:9:29] /a 5
[16/3/2016 8:9:30] /a 5
[16/3/2016 8:9:32] /a 5
[16/3/2016 8:9:33] /a 5
[16/3/2016 8:9:34] /a 5
[16/3/2016 8:9:38] /a 5
[16/3/2016 8:9:39] /a 5
[16/3/2016 8:9:42] /a 5
[16/3/2016 8:9:43] /a 5
[16/3/2016 8:9:44] /a 10
[16/3/2016 8:9:44] /a 10
[16/3/2016 8:9:45] /a 10
[16/3/2016 8:9:46] /a 10
[16/3/2016 8:9:47] /a 10
[16/3/2016 8:9:48] /a 10
[16/3/2016 8:9:49] /a 10
[16/3/2016 8:10:5] /a 5
[16/3/2016 8:10:6] /a 5
[16/3/2016 8:10:7] /a 5
[16/3/2016 8:10:7] /a 5
[16/3/2016 8:10:8] /a 5
[16/3/2016 8:12:23] /goto [adm] clayton
[16/3/2016 8:12:30] /t
[16/3/2016 8:13:15] /a 2
[16/3/2016 8:13:18] /a 5
[16/3/2016 8:13:20] /a 5
[16/3/2016 8:13:25] /a 5
[16/3/2016 8:13:28] /a 5
[16/3/2016 8:13:29] /a 5
[16/3/2016 8:13:30] /a 5
[16/3/2016 8:13:33] /a 5
[16/3/2016 8:13:34] /a 5
[16/3/2016 8:13:35] /a 5
[16/3/2016 8:13:37] /a 5
[16/3/2016 8:13:38] /a 5
[16/3/2016 8:13:40] /a 5
[16/3/2016 8:13:46] /up
[16/3/2016 8:13:49] /a 5
[16/3/2016 8:13:50] /a 5
[16/3/2016 8:13:51] /a 5
[16/3/2016 8:13:54] /a 5
[16/3/2016 8:13:56] /a 5
[16/3/2016 8:13:56] /a 5
[16/3/2016 8:13:57] /a 5
[16/3/2016 8:13:58] /a 5
[16/3/2016 8:13:59] /a 10
[16/3/2016 8:14:0] /a 5
[16/3/2016 8:14:1] /a 5
[16/3/2016 8:14:1] /a 5
[16/3/2016 8:14:3] /t
[16/3/2016 8:14:13] /a 2
[16/3/2016 8:14:21] /a 5
[16/3/2016 8:14:21] /a 5
[16/3/2016 8:14:22] /a 5
[16/3/2016 8:14:23] /a 5
[16/3/2016 8:14:24] /a 5
[16/3/2016 8:14:24] /a 5
[16/3/2016 8:14:25] /a 5
[16/3/2016 8:14:26] /a 5
[16/3/2016 8:14:29] /a 5
[16/3/2016 8:14:29] /a 5
[16/3/2016 8:14:30] /a 5
[16/3/2016 8:14:31] /a 5
[16/3/2016 8:14:32] /a 5
[16/3/2016 8:14:36] /a 5
[16/3/2016 8:14:37] /a 5
[16/3/2016 8:14:38] /a 5
[16/3/2016 8:14:39] /a 5
[16/3/2016 8:14:40] /a 5
[16/3/2016 8:14:42] /a 5
[16/3/2016 8:14:43] /a 5
[16/3/2016 8:14:45] /a 5
[16/3/2016 8:14:46] /a 5
[16/3/2016 8:14:47] /a 5
[16/3/2016 8:14:48] /a 5
[16/3/2016 8:14:49] /a 5
[16/3/2016 8:15:4] /t
[16/3/2016 8:15:18] /a 10
[16/3/2016 8:15:19] /a 10
[16/3/2016 8:15:20] /a 10
[16/3/2016 8:15:20] /a 5
[16/3/2016 8:15:21] /a 5
[16/3/2016 8:15:22] /a 5
[16/3/2016 8:15:23] /a 5
[16/3/2016 8:15:24] /a 5
[16/3/2016 8:15:25] /a 5
[16/3/2016 8:15:26] /a 5
[16/3/2016 8:15:27] /a 5
[16/3/2016 8:15:28] /a 5
[16/3/2016 8:15:33] /a 10
[16/3/2016 8:15:34] /a 5
[16/3/2016 8:15:36] /a 5
[16/3/2016 8:15:37] /a 5
[16/3/2016 8:15:39] /a 5
[16/3/2016 8:15:40] /a 5
[16/3/2016 8:15:41] /a 5
[16/3/2016 8:15:42] /a 5
[16/3/2016 8:15:43] /a 5
[16/3/2016 8:15:44] /a 5
[16/3/2016 8:15:44] /a 5
[16/3/2016 8:15:45] /a 5
[16/3/2016 8:15:46] /a 5
[16/3/2016 8:15:47] /a 5
[16/3/2016 8:15:49] /a 2
[16/3/2016 8:15:58] /a 
[16/3/2016 8:16:6] /a 
[16/3/2016 8:16:8] /a 2
[16/3/2016 8:16:50] /up
[16/3/2016 8:16:59] /down
[16/3/2016 8:20:41] /ghost
[16/3/2016 8:20:50] /goto toquinha
[16/3/2016 8:21:2] /goto joao viida loka
[16/3/2016 8:21:37] /goto seeu cuca
[16/3/2016 8:21:44] /goto ranca tripa
[16/3/2016 8:21:51] /goto lucatone
[16/3/2016 8:22:23] /goto ziikaduupantano
[16/3/2016 8:23:1] /goto sexy nith
[16/3/2016 8:23:28] /goto kiinazinha
[16/3/2016 8:24:0] /t
[16/3/2016 8:24:15] /goto siinazinha
[16/3/2016 8:24:22] /goto kiinazinha
[16/3/2016 8:25:39] /t
[16/3/2016 8:26:1] /a 3
[16/3/2016 8:26:6] /a 5
[16/3/2016 8:26:8] /a 5
[16/3/2016 8:28:59] /goto [adm] clayton
[16/3/2016 8:35:19] /a 5
[16/3/2016 8:35:20] /a 5
[16/3/2016 8:35:21] /a 5
[16/3/2016 8:35:21] /a 5
[16/3/2016 8:35:22] /a 5
[16/3/2016 8:35:22] /a 5
[16/3/2016 8:35:23] /a 5
[16/3/2016 8:35:25] /a 5
[16/3/2016 8:35:31] /a 5
[16/3/2016 8:35:32] /a 5
[16/3/2016 8:35:34] /a 5
[16/3/2016 8:35:34] /a 5
[16/3/2016 8:35:35] /a 5
[16/3/2016 8:35:36] /a 5
[16/3/2016 8:35:36] /a 5
[16/3/2016 8:35:37] /a 5
[16/3/2016 8:35:37] /a 5
[16/3/2016 8:35:38] /a 5
[16/3/2016 8:35:39] /a 5
[16/3/2016 8:35:39] /a 5
[16/3/2016 8:35:40] /a 5
[16/3/2016 8:35:40] /a 5
[16/3/2016 8:35:41] /a 5
[16/3/2016 8:35:42] /a 5
[16/3/2016 8:35:43] /a 5
[16/3/2016 8:35:44] /a 5
[16/3/2016 8:35:45] /a 5
[16/3/2016 8:35:45] /a 5
[16/3/2016 8:35:46] /a 5
[16/3/2016 8:35:48] /a 5
[16/3/2016 8:35:50] /a 5
[16/3/2016 8:35:50] /a 5
[16/3/2016 8:35:51] /a 5
[16/3/2016 8:35:52] /a 5
[16/3/2016 8:35:53] /a 5
[16/3/2016 8:35:53] /a 5
[16/3/2016 8:35:54] /a 5
[16/3/2016 8:35:55] /a 5
[16/3/2016 8:35:56] /a 5
[16/3/2016 8:35:56] /a 5
[16/3/2016 8:35:57] /a 5
[16/3/2016 8:35:58] /a 5
[16/3/2016 8:35:58] /a 5
[16/3/2016 8:35:59] /a 5
[16/3/2016 8:36:0] /a 5
[16/3/2016 8:36:1] /a 5
[16/3/2016 8:36:4] /a 5
[16/3/2016 8:36:6] /a 5
[16/3/2016 8:36:7] /a 5
[16/3/2016 8:36:8] /a 5
[16/3/2016 8:36:8] /a 5
[16/3/2016 8:36:10] /a 5
[16/3/2016 8:36:11] /a 5
[16/3/2016 8:36:37] /a 5
[16/3/2016 8:36:41] /a 5
[16/3/2016 8:36:44] /a 5
[16/3/2016 8:36:44] /a 5
[16/3/2016 8:36:56] /a 5
[16/3/2016 8:36:56] /a 5
[16/3/2016 8:37:3] /a 10
[16/3/2016 8:37:8] /a 5
[16/3/2016 8:37:11] /a 5
[16/3/2016 8:37:18] /a 5
[16/3/2016 8:37:18] /a 5
[16/3/2016 8:37:19] /a 5
[16/3/2016 8:37:20] /a 5
[16/3/2016 8:37:24] /a 5
[16/3/2016 8:37:25] /a 5
[16/3/2016 8:37:29] /a 5
[16/3/2016 8:37:30] /a 5
[16/3/2016 8:37:31] /a 5
[16/3/2016 8:37:32] /a 5
[16/3/2016 8:37:32] /a 5
[16/3/2016 8:37:34] /a 5
[16/3/2016 8:37:38] /a 5
[16/3/2016 8:37:41] /a 5
[16/3/2016 8:37:42] /a 5
[16/3/2016 8:37:42] /a 5
[16/3/2016 8:37:43] /a 5
[16/3/2016 8:37:46] /a 5
[16/3/2016 8:37:47] /a 5
[16/3/2016 8:37:48] /a 5
[16/3/2016 8:37:49] /a 5
[16/3/2016 8:37:50] /a 5
[16/3/2016 8:37:50] /a 5
[16/3/2016 8:37:53] /a 5
[16/3/2016 8:37:54] /a 5
[16/3/2016 8:37:55] /a 5
[16/3/2016 8:37:56] /a 5
[16/3/2016 8:37:59] /a 5
[16/3/2016 8:37:59] /a 5
[16/3/2016 8:38:1] /a 5
[16/3/2016 8:38:5] /a 5
[16/3/2016 8:38:6] /a 5
[16/3/2016 8:38:7] /a 5
[16/3/2016 8:38:9] /a 5
[16/3/2016 8:39:58] /a 2
[16/3/2016 8:40:2] /a 2
[16/3/2016 8:40:17] /a 10
[16/3/2016 8:40:18] /a 10
[16/3/2016 8:40:29] /a 40
[16/3/2016 8:40:37] /a 50
[16/3/2016 8:40:40] /a 60
[16/3/2016 8:41:28] /a 2
[16/3/2016 8:43:8] /a 10
[16/3/2016 8:43:9] /a 10
[16/3/2016 8:43:9] /a 10
[16/3/2016 8:43:12] /a 100
[16/3/2016 8:43:15] /a 120
[16/3/2016 8:43:21] /a 10
[16/3/2016 8:49:10] /t
[16/3/2016 8:51:58] /b fala GARELAAAAA, precisam de algo?
[16/3/2016 8:53:43] /a 10
[16/3/2016 8:53:44] /a 10
[16/3/2016 8:53:46] /a 10
[16/3/2016 8:53:48] /a 10
[16/3/2016 8:53:49] /a 10
[16/3/2016 8:53:54] /a 10
[16/3/2016 8:53:55] /a 10
[16/3/2016 8:53:55] /a 10
[16/3/2016 8:53:56] /a 10
[16/3/2016 8:53:58] /a 10
[16/3/2016 8:53:59] /a 10
[16/3/2016 8:54:0] /a 10
[16/3/2016 8:54:4] /a 10
[16/3/2016 8:54:5] /a 10
[16/3/2016 8:54:7] /a 10
[16/3/2016 8:54:8] /a 10
[16/3/2016 8:54:9] /a 10
[16/3/2016 8:54:15] /down
[16/3/2016 8:54:17] /a 10
[16/3/2016 8:54:18] /a 10
[16/3/2016 8:54:21] /a 10
[16/3/2016 8:54:22] /a 10
[16/3/2016 8:54:23] /a 10
[16/3/2016 8:54:24] /a 10
[16/3/2016 8:54:28] /a 5
[16/3/2016 8:54:45] /a 10
[16/3/2016 8:54:46] /a 10
[16/3/2016 8:54:47] /a 10
[16/3/2016 8:54:48] /a 10
[16/3/2016 8:54:54] /a 10
[16/3/2016 8:54:57] /a 5
[16/3/2016 8:55:1] /down
[16/3/2016 8:55:7] /a 10
[16/3/2016 8:55:57] /a 5
[16/3/2016 8:55:58] /a 5
[16/3/2016 8:55:59] /a 5
[16/3/2016 8:56:0] /a 5
[16/3/2016 8:56:0] /a 5
[16/3/2016 8:56:5] /a 5
[16/3/2016 8:56:5] /a 5
[16/3/2016 8:56:6] /a 5
[16/3/2016 8:56:7] /a 5
[16/3/2016 8:56:7] /a 5
[16/3/2016 8:56:8] /a 5
[16/3/2016 8:56:8] /a 5
[16/3/2016 8:56:9] /a 5
[16/3/2016 8:56:9] /a 5
[16/3/2016 8:56:11] /a 5
[16/3/2016 8:56:12] /a 5
[16/3/2016 8:56:13] /a 5
[16/3/2016 8:56:13] /a 5
[16/3/2016 8:56:15] /a 5
[16/3/2016 8:56:16] /a 5
[16/3/2016 8:56:19] /a 5
[16/3/2016 8:56:26] /a 5
[16/3/2016 8:56:27] /a 5
[16/3/2016 8:56:28] /a 5
[16/3/2016 8:56:30] /a 5
[16/3/2016 8:56:31] /a 5
[16/3/2016 8:56:31] /a 5
[16/3/2016 8:56:32] /a 5
[16/3/2016 8:56:34] /a 5
[16/3/2016 8:56:36] /a 5
[16/3/2016 8:56:37] /a 5
[16/3/2016 8:56:38] /a 5
[16/3/2016 8:56:39] /a 5
[16/3/2016 8:56:39] /a 5
[16/3/2016 8:56:40] /a 10
[16/3/2016 8:56:41] /a 10
[16/3/2016 8:56:42] /a 10
[16/3/2016 8:56:42] /a 10
[16/3/2016 8:56:43] /a 10
[16/3/2016 8:56:45] /a 5
[16/3/2016 8:56:46] /a 5
[16/3/2016 8:56:47] /a 5
[16/3/2016 8:56:47] /a 5
[16/3/2016 8:56:49] /a 5
[16/3/2016 8:56:50] /a 5
[16/3/2016 9:5:25] /a 3
[16/3/2016 9:5:31] /c warchazz
[16/3/2016 9:11:20] /ghost
[16/3/2016 9:14:6] /a 2
[16/3/2016 9:14:11] /c chili
[16/3/2016 9:17:12] /kick warchazz
[16/3/2016 9:17:25] /kick warchazz
[16/3/2016 9:18:2] /up
[16/3/2016 9:18:8] /t
[16/3/2016 9:19:14] /kick warchazz
[16/3/2016 9:19:22] /a 4
[16/3/2016 9:19:26] /c warchazz
[16/3/2016 9:23:3] /ghost
[16/3/2016 9:23:7] /a 2
[16/3/2016 9:23:12] /c warchazz
[16/3/2016 9:23:15] /c warchazz
[16/3/2016 9:23:18] /c warchazz
[16/3/2016 9:23:21] /c warchazz
[16/3/2016 9:23:23] /c warchazz
[16/3/2016 9:28:39] /goto pvp'in'game
[16/3/2016 9:28:47] /t
[16/3/2016 9:52:1] /ghost
[16/3/2016 9:53:30] /a 10
[16/3/2016 9:53:37] /t
[16/3/2016 9:58:6] /ghost
[16/3/2016 9:59:21] /ghost
[16/3/2016 10:2:37] /up
[16/3/2016 10:6:38] /ghost
[16/3/2016 10:9:37] /ghost
[16/3/2016 10:10:3] /goto chili
[16/3/2016 10:11:19] /t
[16/3/2016 10:11:47] /a 10
[16/3/2016 10:11:48] /a 10
[16/3/2016 10:11:49] /a 5
[16/3/2016 10:11:50] /a 10
[16/3/2016 10:11:51] /a 10
[16/3/2016 10:11:54] /a 10
[16/3/2016 10:11:55] /a 10
[16/3/2016 10:12:1] /a 10
[16/3/2016 10:12:50] /down
[16/3/2016 10:12:51] /down
[16/3/2016 10:13:2] /a 10
[16/3/2016 10:13:4] /a 5
[16/3/2016 10:13:5] /a 5
[16/3/2016 10:13:7] /a 10
[16/3/2016 10:13:10] /up
[16/3/2016 10:13:11] /a 10
[16/3/2016 10:13:13] /a 10
[16/3/2016 10:13:14] /a 10
[16/3/2016 10:13:16] /a 10
[16/3/2016 10:13:26] /down
[16/3/2016 10:13:37] /a 10
[16/3/2016 10:13:37] /a 5
[16/3/2016 10:13:44] /down
[16/3/2016 10:13:48] /a 10
[16/3/2016 10:13:48] /a 10
[16/3/2016 10:13:49] /a 5
[16/3/2016 10:13:54] /a 10
[16/3/2016 10:14:7] /down
[16/3/2016 10:14:10] /a 10
[16/3/2016 10:14:11] /a 10
[16/3/2016 10:14:13] /a 10
[16/3/2016 10:14:13] /a 10
[16/3/2016 10:14:14] /a 10
[16/3/2016 10:14:18] /a 10
[16/3/2016 10:14:19] /a 5
[16/3/2016 10:16:8] /down
[16/3/2016 10:16:11] /up
[16/3/2016 10:16:16] /down
[16/3/2016 10:16:31] /a 10
[16/3/2016 10:16:32] /a 10
[16/3/2016 10:16:33] /a 10
[16/3/2016 10:16:34] /a 10
[16/3/2016 10:16:36] /a 5
[16/3/2016 10:16:41] /up
[16/3/2016 10:16:48] /t
[16/3/2016 10:18:55] /ghost
[16/3/2016 10:21:30] /a 2
[16/3/2016 10:21:34] /up
[16/3/2016 10:21:37] /up
[16/3/2016 10:21:40] /up
[16/3/2016 10:21:44] /a 10
[16/3/2016 10:21:47] /up
[16/3/2016 10:21:57] /a 10
[16/3/2016 10:22:3] /a 10
[16/3/2016 10:22:6] /a 10
[16/3/2016 10:22:9] /a 15
[16/3/2016 10:22:13] /a 10
[16/3/2016 10:22:29] /a 10
[16/3/2016 10:22:31] /a 10
[16/3/2016 10:22:33] /a 10
[16/3/2016 10:22:36] /t
[16/3/2016 10:45:2] /t
[16/3/2016 10:45:9] /ghost
[16/3/2016 10:46:4] /ghost
[16/3/2016 10:46:12] /goto newpp
[16/3/2016 10:46:21] /ghost
[16/3/2016 10:49:44] /a 5
[16/3/2016 10:49:45] /a 5
[16/3/2016 10:49:46] /a 5
[16/3/2016 10:49:52] /a 10
[16/3/2016 10:49:53] /a 10
[16/3/2016 10:49:53] /a 10
[16/3/2016 10:50:0] /a 10
[16/3/2016 10:50:1] /a 10
[16/3/2016 10:50:41] /goto pazuzu
[16/3/2016 10:51:44] /goto pazuzu
[16/3/2016 10:52:9] /up
[16/3/2016 10:52:13] /a 10
[16/3/2016 10:52:15] /a 10
[16/3/2016 10:52:15] /a 10
[16/3/2016 10:52:16] /a 10
[16/3/2016 10:52:16] /a 10
[16/3/2016 10:52:19] /a 10
[16/3/2016 10:52:27] /a 10
[16/3/2016 10:52:29] /a 10
[16/3/2016 10:52:30] /a 10
[16/3/2016 10:52:32] /a 10
[16/3/2016 10:52:32] /a 10
[16/3/2016 10:52:44] /a 10
[16/3/2016 10:52:44] /a 10
[16/3/2016 10:52:45] /a 10
[16/3/2016 10:52:46] /a 10
[16/3/2016 10:52:47] /a 10
[16/3/2016 10:52:48] /a 10
[16/3/2016 10:52:48] /a 10
[16/3/2016 10:52:50] /a 10
[16/3/2016 10:52:51] /a 10
[16/3/2016 10:52:52] /a 10
[16/3/2016 10:53:6] /a 10
[16/3/2016 10:53:8] /a 5
[16/3/2016 10:53:32] /goto apocalypse
[16/3/2016 10:53:48] /goto orshaball
[16/3/2016 10:53:52] /goto orshabaal
[16/3/2016 10:54:3] /a 10
[16/3/2016 10:54:59] /up
[16/3/2016 10:55:1] /a 10
[16/3/2016 10:55:3] /a 10
[16/3/2016 10:55:4] /a 10
[16/3/2016 10:55:8] /a 10
[16/3/2016 10:55:12] /a 10
[16/3/2016 10:55:14] /a 5
[16/3/2016 10:55:14] /a 5
[16/3/2016 10:55:15] /a 5
[16/3/2016 10:55:17] /a 5
[16/3/2016 10:55:18] /a 5
[16/3/2016 10:55:18] /a 5
[16/3/2016 10:55:20] /a 5
[16/3/2016 10:55:21] /a 5
[16/3/2016 10:55:24] /a 5
[16/3/2016 10:55:25] /a 5
[16/3/2016 10:55:26] /a 5
[16/3/2016 10:55:27] /a 5
[16/3/2016 10:55:27] /a 5
[16/3/2016 10:55:28] /a 5
[16/3/2016 10:55:29] /a 5
[16/3/2016 10:55:31] /a 5
[16/3/2016 10:55:32] /a 5
[16/3/2016 10:55:33] /a 5
[16/3/2016 10:55:33] /a 5
[16/3/2016 10:55:34] /a 5
[16/3/2016 10:55:34] /a 5
[16/3/2016 10:55:35] /a 5
[16/3/2016 10:55:36] /a 5
[16/3/2016 10:55:36] /a 5
[16/3/2016 10:55:37] /a 5
[16/3/2016 10:55:37] /a 5
[16/3/2016 10:55:56] /goto ferumbras
[16/3/2016 10:56:10] /a 10
[16/3/2016 10:56:13] /a 10
[16/3/2016 10:56:42] /goto ferumbras
[16/3/2016 10:57:16] /goto infernatil
[16/3/2016 10:57:20] /a 10
[16/3/2016 10:57:23] /a 10
[16/3/2016 10:57:24] /a 5
[16/3/2016 10:57:25] /a 5
[16/3/2016 10:57:26] /a 5
[16/3/2016 10:57:28] /a 5
[16/3/2016 10:57:30] /a 5
[16/3/2016 10:57:36] /a 5
[16/3/2016 10:57:38] /a 5
[16/3/2016 10:57:39] /a 5
[16/3/2016 10:58:3] /t
[16/3/2016 10:59:54] /goto bazir
[16/3/2016 11:0:2] /a 10
[16/3/2016 11:0:3] /a 10
[16/3/2016 11:0:3] /a 10
[16/3/2016 11:0:4] /a 10
[16/3/2016 11:0:18] /a 10
[16/3/2016 11:0:32] /a 5
[16/3/2016 11:0:33] /a 5
[16/3/2016 11:0:34] /a 5
[16/3/2016 11:0:36] /a 5
[16/3/2016 11:0:36] /a 5
[16/3/2016 11:0:38] /a 5
[16/3/2016 11:0:40] /a 5
[16/3/2016 11:0:41] /a 5
[16/3/2016 11:0:42] /a 5
[16/3/2016 11:0:43] /a 5
[16/3/2016 11:0:44] /a 5
[16/3/2016 11:0:45] /a 5
[16/3/2016 11:0:46] /a 5
[16/3/2016 11:0:47] /a 5
[16/3/2016 11:0:47] /a 5
[16/3/2016 11:0:48] /a 5
[16/3/2016 11:0:48] /a 5
[16/3/2016 11:0:49] /a 5
[16/3/2016 11:0:52] /a 5
[16/3/2016 11:0:56] /a 5
[16/3/2016 11:0:57] /a 10
[16/3/2016 11:0:59] /a 10
[16/3/2016 11:1:0] /a 10
[16/3/2016 11:1:1] /a 10
[16/3/2016 11:1:2] /a 5
[16/3/2016 11:1:6] /a 5
[16/3/2016 11:1:8] /a 5
[16/3/2016 11:1:9] /a 5
[16/3/2016 11:1:9] /a 5
[16/3/2016 11:1:15] /a 10
[16/3/2016 11:1:16] /a 10
[16/3/2016 11:1:16] /a 10
[16/3/2016 11:1:17] /a 10
[16/3/2016 11:1:18] /a 10
[16/3/2016 11:1:19] /a 10
[16/3/2016 11:1:20] /a 10
[16/3/2016 11:1:22] /t
[16/3/2016 11:1:48] /goto pumim
[16/3/2016 11:1:59] /goto pumin
[16/3/2016 11:2:11] /goto verminor
[16/3/2016 11:7:15] /goto bug xp
[16/3/2016 11:11:23] /goto gnomevil
[16/3/2016 11:13:33] /goto devovorga
[16/3/2016 11:14:20] /c warchazz
[16/3/2016 11:17:19] /a 10
[16/3/2016 11:17:20] /a 10
[16/3/2016 11:17:20] /a 10
[16/3/2016 11:17:21] /a 10
[16/3/2016 11:17:25] /a 10
[16/3/2016 11:17:27] /a 10
[16/3/2016 11:17:30] /a 10
[16/3/2016 11:17:57] /a 10
[16/3/2016 11:17:58] /a 10
[16/3/2016 11:18:0] /t
[16/3/2016 11:18:6] /goto ferumbras
[16/3/2016 11:18:17] /up
[16/3/2016 11:18:19] /up
[16/3/2016 11:18:21] /a 10
[16/3/2016 11:18:23] /a 10
[16/3/2016 11:18:27] /down
[16/3/2016 11:18:33] /down
[16/3/2016 11:18:35] /up
[16/3/2016 11:18:40] /up
[16/3/2016 11:23:50] /goto Gaz'Haragot
[16/3/2016 11:23:53] /t
[16/3/2016 11:24:37] /goto zuralurk
[16/3/2016 11:24:46] /goto morgaroth
[16/3/2016 11:24:50] /t
[16/3/2016 11:28:8] /goto Ferumbras Mortal Shell	
[16/3/2016 11:28:11] /goto Ferumbras Mortal Shell
[16/3/2016 11:28:21] /goto orshabaal
[16/3/2016 11:28:34] /m Ferumbras Mortal Shell
[16/3/2016 11:28:35] /m Ferumbras Mortal Shell
[16/3/2016 11:29:12] /up
[16/3/2016 11:29:14] /up
[16/3/2016 11:29:20] /up
[16/3/2016 11:29:22] /t
[16/3/2016 11:32:9] /up
[16/3/2016 11:32:35] /ghost
[16/3/2016 11:33:57] /t
[16/3/2016 11:34:12] /a 10
[16/3/2016 11:34:13] /a 10
[16/3/2016 11:34:14] /a 10
[16/3/2016 11:34:15] /a 10
[16/3/2016 11:34:15] /a 10
[16/3/2016 11:34:16] /a 10
[16/3/2016 11:34:17] /a 10
[16/3/2016 11:34:19] /a 10
[16/3/2016 11:34:20] /a 10
[16/3/2016 11:34:21] /a 10
[16/3/2016 11:34:22] /a 10
[16/3/2016 11:34:23] /a 10
[16/3/2016 11:34:24] /a 10
[16/3/2016 11:34:25] /a 10
[16/3/2016 11:34:26] /a 10
[16/3/2016 11:34:27] /a 10
[16/3/2016 11:34:27] /a 10
[16/3/2016 11:34:35] /a 10
[16/3/2016 11:34:36] /a 10
[16/3/2016 11:34:38] /a 10
[16/3/2016 11:34:39] /a 10
[16/3/2016 11:34:42] /a 10
[16/3/2016 11:34:44] /a 10
[16/3/2016 11:34:47] /a 10
[16/3/2016 11:34:49] /a 10
[16/3/2016 11:34:50] /a 10
[16/3/2016 11:34:51] /a 10
[16/3/2016 11:34:51] /a 10
[16/3/2016 11:34:53] /a 10
[16/3/2016 11:34:54] /a 5
[16/3/2016 11:34:56] /a 5
[16/3/2016 11:34:57] /a 5
[16/3/2016 11:34:58] /a 5
[16/3/2016 11:34:59] /a 5
[16/3/2016 11:35:0] /a 5
[16/3/2016 11:35:3] /a 5
[16/3/2016 11:35:4] /a 5
[16/3/2016 11:35:5] /a 5
[16/3/2016 11:35:6] /a 5
[16/3/2016 11:35:8] /a 5
[16/3/2016 11:35:9] /a 5
[16/3/2016 11:35:10] /a 5
[16/3/2016 11:35:13] /a 5
[16/3/2016 11:35:14] /a 5
[16/3/2016 11:35:14] /a 5
[16/3/2016 11:35:15] /a 5
[16/3/2016 11:35:18] /a 5
[16/3/2016 11:35:19] /a 5
[16/3/2016 11:35:21] /a 5
[16/3/2016 15:30:56] /t
[16/3/2016 15:31:0] /a 30
[16/3/2016 15:31:3] /a 30
[16/3/2016 15:31:18] /a 30
[16/3/2016 15:31:20] /a 30
[16/3/2016 15:31:21] /a 30
[16/3/2016 15:31:22] /a 30
[16/3/2016 15:31:23] /a 30
[16/3/2016 15:31:26] /a 30
[16/3/2016 15:31:29] /a 30
[16/3/2016 15:37:40] /c warchazz
[16/3/2016 15:38:32] /c warchazz
[16/3/2016 15:45:51] /t
[16/3/2016 17:27:29] /ghost
[16/3/2016 17:29:55] /goto druid maconheiro
[16/3/2016 17:31:7] /t
[16/3/2016 17:40:46] /t
[16/3/2016 17:41:16] /a 3
[16/3/2016 17:41:45] /goto orshabaal
[16/3/2016 17:49:23] /t
[16/3/2016 17:49:33] /goto [adm] clayton
[16/3/2016 19:14:10] /ghost
[16/3/2016 20:5:30] /t
[16/3/2016 20:6:0] /a 5
[16/3/2016 20:6:6] /a 5
[16/3/2016 20:6:23] /a 2
[16/3/2016 20:6:34] /a 4
[16/3/2016 20:6:42] /t
[16/3/2016 20:8:11] /a 30
[16/3/2016 20:8:27] /a 5
[16/3/2016 20:8:28] /a 5
